CourseCode,CourseTitle,TotalWeeks,TotalHours,FullCourseFee,CourseDescription
LAT-226,Latin Slang,,,,Fusce in sapien eu purus dapibus commodo.  Curabitur non eros.  Cras faucibus condimentum odio.  am hendrerit bibendum justo.
LAT-207,Grammar Pills,11,16.5,495,"Ut molestie magna at mi.  Donec metus massa, mollis vel, tempus placerat, vestibulum condimentum, ligula.  Pellentesque porttitor, velit lacinia egestas auctor, diam eros tempus arcu, nec vulputate augue magna vel risus."
LAT-445,Latin Culture and Conversation,10,15,450,Suspendisse dapibus lorem pellentesque magna.  Vivamus a tellus.
LAT-444,Latin Through Fashion,10,15,450,Proin pharetra nonummy pede.  Sed cursus quam id felis.  Mauris et orci.  Suspendisse dapibus lorem pellentesque magna.
LAT-430,Roman History,8,12,360,"Proin pharetra nonummy pede.  Donec laoreet nonummy augue.  Donec elit est, consectetuer eget, consequat quis, tempus quis, wisi."
LAT-402,Latin Literature,8,12,360,Nunc ac magna.  Nam vulputate.  Mauris eget neque at sem venenatis eleifend.
LAT-476,Latin Music,8,12,360,Vivamus a tellus.  Mauris eleifend a eget mauris.
LAT-431,Roman History II,11,16.5,495,"Ut molestie magna at mi.  Sed velit urna, interdum vel, ultricies vel, faucibus at, quam.  Pellentesque porttitor, velit lacinia egestas auctor, diam eros tempus arcu, nec vulputate augue magna vel risus.  Aliquam erat volutpat."
LAT-101,Beginner I,11,16.5,495,Quisque aliquam tempor magna.  Maecenas porttitor congue massa.  Proin nec augue.
LAT-102,Beginner II,11,16.5,495,"Suspendisse potenti.  Fusce posuere, magna sed pulvinar ultricies, purus lectus malesuada libero, sit amet commodo magna eros quis urna.  Integer aliquet mauris et nibh."
LAT-314,Difficult Latin,11,,,"Duis a quam non neque lobortis malesuada.  Fusce posuere, magna sed pulvinar ultricies, purus lectus malesuada libero, sit amet commodo magna eros quis urna.  Maecenas odio dolor, vulputate vel, auctor ac, accumsan id, felis.  Vivamus vitae massa adipiscing est lacinia sodales."
LAT-405,Roman Theater,10,15,450,"Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos hymenaeos.  Fusce est.  Donec ullamcorper fringilla eros."
